document1,document2,label,antecedent
계속 말로 저한테 했는데,"민우 오빠랑 언니랑 저랑 셋이서. 민우 오빠가 말, 말하는거예요, 저한테.",,민우 오빠
제방으로. 제 방 들어가가지고 둘이 같이 먹고,"그래서 밥이랑 라면 완성, 아니 다, 다하고 같이 들어가서 식탁, 거기 둘이 먹고. 저는 침대에서 앉아있었어요.",,둘
그다음에 얘기하고,제 방 들어가가지고 둘이 같이 먹고. 라면 먹고? 예. 그리고?,,둘
슬쩍 본 거예요.,저는 침대에서 앉아서 핸드폰 하고 그랬었는데 민우 오빠가 저를 봤어요.,,민우 오빠
그래서 슬쩍 봤는데 너무 낯설어가지고 계속 모른 척 했는데,저는 침대에서 앉아서 핸드폰 하고 그랬었는데 민우 오빠가 저를 봤어요. 슬쩍 본 거예요.,,저
전화 번호 알려줄 수 있냐고.,"갑자기 민우 오빠가 옆에 와가지고 앉아서 고등학교 어디 다니냐고, 나이 몇 살이냐고 물어봐서.",,민우 오빠
그래서 민우 오빠가 전화번호 알려달라고 했는데 할 수 없이 알려줘가지고.,"그래서 제가 슬쩍 봤는데 너무 낯설어가지고 계속 모른 척 했는데 갑자기 민우 오빠가 옆에 와가지고 앉아서 고등학교 어디 다니냐고, 나이 몇 살이냐고 물어봐서. 전화번호 알려줄 수 있냐고.",,제
"그다음에 내, 내몸을 만져서.","민우 오빠가 제 침대에서 들어와서 이불 덮은 거예요. 그래서 같이 누웠는데, 같이 누웠는데 저랑 민우 오빠랑 언니 얘기하고",,민우 오빠
제 몸을 만져서.,"민우 오빠가 제 침대에서 들어와서 이불 덮은 거예요. 그래서 같이 누웠는데, 같이 누웠는데 저랑 민우 오빠랑 언니 얘기하고 그런 식, 그런 식 얘기하고 그다음에 내, 내 몸을 만져서.",,민우 오빠
손도 만지고 가슴도 만졌어요,"민우 오빠가 제 침대에서 들어와서 이불 덮은 거예요. 그래서 같이 누웠는데, 같이 누웠는데 저랑 민우 오빠랑 언니 얘기하고 그런 식, 그런 식 얘기하고 그다음에 내, 내 몸을 만져서.",,민우 오빠
"그리고 안고, 그리고 볼에도 뽀뽀했어요.","민우 오빠가 제 침대에서 들어와서 이불 덮은 거예요. 그래서 같이 누웠는데, 같이 누웠는데 저랑 민우 오빠랑 언니 얘기하고 그런 식, 그런 식 얘기하고 그다음에 내, 내 몸을 만져서.",,민우 오빠
뽀뽀를 했었고.,"민우 오빠가 제 몸을 만져서. 손도 만지고 가슴도 만졌어요. 그리고 안고, 그리고 볼에도 뽀뽀했어요.",,민우 오빠
그래서 잤고,"그다음에 밤늦게, 아침에, 밤에 민우 오빠는 일찍 가고 저는 잤어요.",,저
그다음에 아침에 일어나서 *** 학교에 가서 공부하고,"그다음에 밤늦게, 아침에, 밤에 민우 오빠는 일찍 가고 저는 잤어요. 그래서 저는 잤고",,저
두번째인데 또 와가지고,"언니, 언니랑 민우 오빠가 또 왔어요.",,언니랑 민우 오빠
먹는대요.,그래서 언니가 민우 오빠한테 '밥 먹을까?'라고 했는데,,민우 오빠
먹고 그다음에 또 여기 앉아서 언니가 민우 오빠한테 ,그래서 언니가 민우 오빠한테 '밥 먹을까?'라고 했는데 먹는대요.,,민우 오빠
